CHILD,SEX,DOB,ETHNIC,UPN,MOTHER,MC_DOB,LA,YEAR
568952_351,2,2007-06-01,CHNE,T038009571167,,,Bracknell Forest,2017
186835_351,2,2014-01-01,WBRI,P064709982106,,,Bracknell Forest,2017
574349_351,1,2008-05-01,WROM,L073056887875,,,Bracknell Forest,2017
59984_351,2,2006-12-01,APKN,R098586891571,,,Bracknell Forest,2017
112482_351,2,2005-05-01,WIRT,C001424784369,,,Bracknell Forest,2017
613480_351,1,2006-04-01,APKN,L081235891734,,,Bracknell Forest,2017
811634_351,2,2006-10-01,BAFR,G068166105016,,,Bracknell Forest,2017
631472_351,2,2008-12-01,MWBC,G042609465569,,,Bracknell Forest,2017
628300_351,2,2005-05-01,AIND,S032202218524,,,Bracknell Forest,2017
225887_351,1,2007-02-01,BOTH,F084142967756,,,Bracknell Forest,2017
211899_351,1,2011-01-01,WOTH,S061341884479,,,Bracknell Forest,2017
455295_351,2,2006-04-01,MWAS,J064128827754,,,Bracknell Forest,2017
12252_351,1,2003-01-01,WROM,K037273873334,,,Bracknell Forest,2017
537358_351,2,2003-04-01,WROM,D055076284449,,,Bracknell Forest,2017
239000_351,2,2007-08-01,BCRB,O063071698902,,,Bracknell Forest,2017
236044_351,2,2012-05-01,WIRT,I042853276939,,,Bracknell Forest,2017
314525_351,1,2003-05-01,AIND,F093825426811,,,Bracknell Forest,2017
599864_351,2,2004-08-01,AIND,Z052949328761,,,Bracknell Forest,2017
473333_351,1,2002-07-01,BAFR,Q004114005273,,,Bracknell Forest,2017
935767_351,1,2010-04-01,WBRI,B027691845293,,,Bracknell Forest,2017
577605_351,1,2009-10-01,WOTH,O028787602617,,,Bracknell Forest,2017
505295_351,2,2007-05-01,MWBA,B030825756796,,,Bracknell Forest,2017
134395_351,1,2010-08-01,BOTH,P080987739534,,,Bracknell Forest,2017
310964_351,2,2013-12-01,ABAN,N005139619829,,,Bracknell Forest,2017
12158_351,2,2002-06-01,NOBT,R010753621140,,,Bracknell Forest,2017
153173_351,1,2014-10-01,WOTH,N045742771378,,,Bracknell Forest,2017
573351_351,2,2003-07-01,CHNE,N002269765609,,,Bracknell Forest,2017
863413_351,1,2004-07-01,MOTH,A090430394849,,,Bracknell Forest,2017
736720_351,1,2006-04-01,WIRT,C086406730975,,,Bracknell Forest,2017
336280_351,1,2005-04-01,AIND,N002411629876,,,Bracknell Forest,2017
79169_351,2,2009-12-01,MOTH,B086890705651,,,Bracknell Forest,2017
45804_351,2,2010-04-01,AIND,X028683809623,,,Bracknell Forest,2017
640035_351,2,2011-10-01,MWAS,B039516435618,,,Bracknell Forest,2017
506384_351,1,2007-06-01,AOTH,M053068412999,,,Bracknell Forest,2017
371759_351,1,2006-07-01,WROM,H042523585544,,,Bracknell Forest,2017
614429_351,1,2009-02-01,CHNE,I028614508702,,,Bracknell Forest,2017
547344_351,2,2008-01-01,BCRB,R008635914858,,,Bracknell Forest,2017
294517_351,2,2011-12-01,APKN,W007709414621,,,Bracknell Forest,2017
930_351,2,2002-05-01,WIRI,J089335776314,,,Bracknell Forest,2017
938795_351,1,2012-10-01,MWBC,S049234607997,,,Bracknell Forest,2017
507317_351,1,2005-11-01,OOTH,T003558274132,,,Bracknell Forest,2017
709448_351,2,2014-07-01,REFU,Z010317355049,,,Bracknell Forest,2017
829911_351,1,2009-01-01,WBRI,E046344205254,,,Bracknell Forest,2017
231644_351,1,2014-10-01,BOTH,U004469023070,,,Bracknell Forest,2017
37319_351,1,2014-04-01,WIRT,F014216257687,,,Bracknell Forest,2017
113176_351,1,2006-07-01,WOTH,E035576470644,,,Bracknell Forest,2017
671555_351,2,2012-04-01,WBRI,W099960156274,,,Bracknell Forest,2017
482123_351,1,2010-08-01,BAFR,A006072622563,,,Bracknell Forest,2017
28310_351,2,2003-09-01,BOTH,D000566487869,,,Bracknell Forest,2017
453683_351,2,2013-01-01,REFU,C090769747161,,,Bracknell Forest,2017
770663_351,2,2011-02-01,WIRT,X071118348197,,,Bracknell Forest,2017
614347_351,1,2013-02-01,APKN,O003758298876,,,Bracknell Forest,2017
875730_351,2,2006-12-01,BAFR,F074676821122,,,Bracknell Forest,2017
133463_351,1,2006-06-01,WIRT,R031423383716,,,Bracknell Forest,2017
487756_351,1,2004-04-01,MWBA,J037471392105,,,Bracknell Forest,2017
948204_351,2,2007-06-01,WROM,B030843814914,,,Bracknell Forest,2017
317817_351,1,2005-10-01,BOTH,A060753579839,,,Bracknell Forest,2017
578513_351,2,2008-05-01,BCRB,N041853599102,,,Bracknell Forest,2017
94105_351,2,2009-02-01,OOTH,X016347040544,,,Bracknell Forest,2017
487154_351,2,2012-10-01,WROM,F066258195403,,,Bracknell Forest,2017
520491_351,1,2003-11-01,MOTH,N074754043343,,,Bracknell Forest,2017
960265_351,1,2005-08-01,AOTH,D025037185999,,,Bracknell Forest,2017
626109_351,1,2003-05-01,NOBT,A093378568731,,,Bracknell Forest,2017
497219_351,1,2007-08-01,ABAN,Z074586584463,,,Bracknell Forest,2017
156588_351,2,2014-01-01,AOTH,N024327719091,,,Bracknell Forest,2017
471305_351,2,2001-08-01,WOTH,T086252162273,,,Bracknell Forest,2017
934252_351,2,2006-12-01,BAFR,G056135592224,,,Bracknell Forest,2017
770560_351,1,2009-06-01,NOBT,Y075512256734,,,Bracknell Forest,2017
193832_351,2,2014-04-01,BAFR,A018574622985,,,Bracknell Forest,2017
752634_351,1,2004-05-01,OOTH,E048023128263,,,Bracknell Forest,2017
36242_351,2,2002-04-01,BOTH,J003835811699,,,Bracknell Forest,2017
167900_351,1,2006-09-01,BOTH,Y013645557231,,,Bracknell Forest,2017
653007_351,1,2008-04-01,MWBC,Q088669607840,,,Bracknell Forest,2017
260308_351,1,2001-11-01,MWBA,N099081931441,,,Bracknell Forest,2017
710173_351,1,2001-10-01,REFU,P070326391581,,,Bracknell Forest,2017
516495_351,2,2007-10-01,AOTH,B067372316153,,,Bracknell Forest,2017
72797_351,2,2013-10-01,BOTH,X024457688242,,,Bracknell Forest,2017
449070_351,1,2008-08-01,NOBT,E080781958118,,,Bracknell Forest,2017
200879_351,1,2002-08-01,MOTH,H055453095254,,,Bracknell Forest,2017
248080_351,1,2009-08-01,APKN,Z037030527559,,,Bracknell Forest,2017
408777_351,1,2006-03-01,WOTH,Z023338331384,,,Bracknell Forest,2017
29804_351,2,2008-10-01,NOBT,B077509077001,,,Bracknell Forest,2017
904956_351,1,2011-09-01,ABAN,Y086610774757,,,Bracknell Forest,2017
723382_351,2,2008-08-01,APKN,S012972562997,,,Bracknell Forest,2017
795330_351,2,2007-01-01,MOTH,L000183467684,,,Bracknell Forest,2017
69269_351,2,2007-10-01,AIND,V082314581433,,,Bracknell Forest,2017
969093_351,1,2009-10-01,WOTH,R002130266073,,,Bracknell Forest,2017
191772_351,2,2010-10-01,OOTH,Q085358978472,,,Bracknell Forest,2017
681510_351,2,2012-10-01,BOTH,Y057554653488,,,Bracknell Forest,2017
272095_351,2,2006-05-01,NOBT,G096465061495,,,Bracknell Forest,2017
372141_351,2,2009-02-01,MWBA,C064466674691,,,Bracknell Forest,2017
984027_351,2,2012-06-01,WIRI,P041525545838,,,Bracknell Forest,2017
344048_351,2,2012-06-01,APKN,U034331280505,,,Bracknell Forest,2017
290263_351,2,2001-09-01,OOTH,C041139542375,,,Bracknell Forest,2017
86943_351,1,2013-01-01,WOTH,X040883671166,,,Bracknell Forest,2017
800665_351,2,2004-01-01,MWBA,G054500918827,,,Bracknell Forest,2017
608509_351,2,2008-06-01,REFU,V055563006441,,,Bracknell Forest,2017
928648_351,1,2002-02-01,BAFR,Z009256882528,,,Bracknell Forest,2017
310707_351,1,2011-06-01,MWBC,L036411328054,,,Bracknell Forest,2017
997498_351,2,2004-05-01,NOBT,B064331621973,,,Bracknell Forest,2017
539092_351,2,2008-12-01,BCRB,P085872931642,,,Bracknell Forest,2017
688515_351,1,2012-04-01,OOTH,T045104584721,,,Bracknell Forest,2017
174199_351,1,2004-09-01,REFU,O027368581310,,,Bracknell Forest,2017
885328_351,1,2008-01-01,BOTH,T001018318374,,,Bracknell Forest,2017
979062_351,1,2011-07-01,OOTH,P087834822975,,,Bracknell Forest,2017
924284_351,1,2008-04-01,MWBC,Y044378511105,,,Bracknell Forest,2017
828047_351,1,2001-12-01,WIRI,A026942160902,,,Bracknell Forest,2017
95946_351,2,2009-02-01,BCRB,P091148000550,,,Bracknell Forest,2017
365965_351,2,2008-05-01,WIRT,J054283793842,,,Bracknell Forest,2017
337182_351,2,2011-11-01,WROM,A083271712122,,,Bracknell Forest,2017
75914_351,2,2014-03-01,ABAN,F054448278142,,,Bracknell Forest,2017
307033_351,1,2007-01-01,WIRT,G012288510969,,,Bracknell Forest,2017
314621_351,1,2009-09-01,REFU,U067299617435,,,Bracknell Forest,2017
787673_351,2,2014-10-01,BCRB,N091788393157,,,Bracknell Forest,2017
189549_351,1,2006-02-01,APKN,N021781118989,,,Bracknell Forest,2017
957912_351,1,2003-01-01,MOTH,Z059310700325,,,Bracknell Forest,2017
522011_351,2,2007-09-01,MWBC,F059945287087,,,Bracknell Forest,2017
935227_351,2,2010-09-01,MOTH,N028074144305,,,Bracknell Forest,2017
735547_351,1,2007-01-01,OOTH,P086915863938,,,Bracknell Forest,2017
463532_351,2,2008-10-01,NOBT,K012836993574,,,Bracknell Forest,2017
901660_351,2,2014-06-01,APKN,P076775372683,,,Bracknell Forest,2017
517505_351,2,2002-04-01,CHNE,S037416833178,,,Bracknell Forest,2017
424085_351,1,2008-03-01,WOTH,D043519214812,,,Bracknell Forest,2017
582800_351,2,2009-04-01,ABAN,G008487969823,,,Bracknell Forest,2017
314842_351,2,2014-03-01,WOTH,J079944960499,,,Bracknell Forest,2017
552346_351,1,2005-08-01,WOTH,T029291992998,,,Bracknell Forest,2017
343329_351,2,2012-12-01,MWBC,Y073271651015,,,Bracknell Forest,2017
613493_351,2,2003-12-01,WIRT,R092242340371,,,Bracknell Forest,2017
927885_351,1,2013-09-01,WBRI,P027862376105,,,Bracknell Forest,2017
822212_351,2,2014-08-01,CHNE,B043080425495,,,Bracknell Forest,2017
424554_351,2,2011-06-01,AOTH,C097480149785,,,Bracknell Forest,2017
832903_351,1,2010-08-01,AOTH,N012873892101,,,Bracknell Forest,2017
292721_351,1,2008-02-01,WOTH,Q053832096419,,,Bracknell Forest,2017
779126_351,2,2008-10-01,AIND,O047752485858,,,Bracknell Forest,2017
908473_351,1,2013-12-01,MOTH,S001451056660,,,Bracknell Forest,2017
278915_351,2,2004-08-01,CHNE,J036311753199,,,Bracknell Forest,2017
54525_351,2,2004-06-01,WBRI,K097496480092,,,Bracknell Forest,2017
154000_351,1,2006-07-01,WROM,E080580367018,,,Bracknell Forest,2017
684660_351,2,2008-07-01,CHNE,P048345375589,,,Bracknell Forest,2017
412276_351,1,2007-04-01,APKN,P031082183706,,,Bracknell Forest,2017
542487_351,2,2006-01-01,BAFR,K071482772817,,,Bracknell Forest,2017
276947_351,2,2010-07-01,REFU,P096946103715,,,Bracknell Forest,2017
674524_351,1,2008-09-01,AOTH,H034784598692,,,Bracknell Forest,2017
236192_351,1,2008-07-01,APKN,K079127911622,,,Bracknell Forest,2017
843264_351,2,2003-08-01,MWAS,N044225919377,,,Bracknell Forest,2017
380785_351,2,2009-07-01,NOBT,N056397989803,,,Bracknell Forest,2017
987412_351,2,2003-03-01,AOTH,F097836446580,,,Bracknell Forest,2017
566763_351,1,2013-06-01,MOTH,U040973615189,,,Bracknell Forest,2017
286783_351,2,2014-02-01,BOTH,I018251768386,,,Bracknell Forest,2017
787592_351,1,2007-08-01,WIRI,T071783336910,,,Bracknell Forest,2017
557612_351,1,2010-05-01,CHNE,G084228399473,,,Bracknell Forest,2017
153127_351,2,2003-10-01,MWBC,B070989140522,,,Bracknell Forest,2017
54169_351,2,2006-11-01,WIRI,S055074260993,,,Bracknell Forest,2017
70956_351,1,2012-09-01,REFU,F054247563732,,,Bracknell Forest,2017
170141_351,1,2011-03-01,AIND,F028795607897,,,Bracknell Forest,2017
197453_351,1,2002-12-01,ABAN,H003906645763,,,Bracknell Forest,2017
756688_351,1,2007-09-01,AOTH,V083866803261,,,Bracknell Forest,2017
300005_351,2,2009-03-01,REFU,Y034807165413,,,Bracknell Forest,2017
289127_351,2,2002-09-01,MWBA,I097031825860,,,Bracknell Forest,2017
989967_351,1,2004-05-01,AIND,F019046301988,,,Bracknell Forest,2017
397709_351,2,2009-05-01,MWAS,X049439740360,,,Bracknell Forest,2017
604241_351,2,2012-06-01,NOBT,P064873030351,,,Bracknell Forest,2017
796554_351,2,2011-10-01,REFU,G089743088622,,,Bracknell Forest,2017
614637_351,2,2009-06-01,BAFR,K003689566946,,,Bracknell Forest,2017
839865_351,2,2012-03-01,ABAN,B065120883641,,,Bracknell Forest,2017
891807_351,1,2010-02-01,OOTH,K065135954757,,,Bracknell Forest,2017
361590_351,2,2014-08-01,OOTH,E071212731164,,,Bracknell Forest,2017
398161_351,1,2011-11-01,MWAS,N021512708391,,,Bracknell Forest,2017
120527_351,2,2003-04-01,MOTH,X080535521447,,,Bracknell Forest,2017
658215_351,2,2004-06-01,MOTH,T041623915061,,,Bracknell Forest,2017
809131_351,1,2013-07-01,WROM,P092392778823,,,Bracknell Forest,2017
230148_351,2,2008-04-01,BAFR,R036606115451,,,Bracknell Forest,2017
758165_351,1,2001-11-01,WOTH,J027424043660,,,Bracknell Forest,2017
814504_351,2,2005-04-01,WBRI,G088011290708,,,Bracknell Forest,2017
984298_351,1,2007-07-01,OOTH,R097756392537,,,Bracknell Forest,2017
56910_351,1,2006-05-01,REFU,J080830972552,,,Bracknell Forest,2017
667272_351,1,2013-05-01,BCRB,V055480676700,,,Bracknell Forest,2017
198808_351,1,2007-09-01,OOTH,X001642943963,,,Bracknell Forest,2017
182203_351,2,2007-11-01,WIRT,Y028688415275,,,Bracknell Forest,2017
228537_351,2,2006-05-01,BCRB,H068958138212,,,Bracknell Forest,2017
232206_351,2,2007-02-01,NOBT,L040193293639,,,Bracknell Forest,2017
309800_351,1,2009-07-01,BAFR,E092415099370,,,Bracknell Forest,2017
416358_351,2,2006-07-01,NOBT,V085269973982,,,Bracknell Forest,2017
730304_351,2,2012-05-01,MWAS,X000827997906,,,Bracknell Forest,2017
482314_351,1,2007-01-01,OOTH,F014061731545,,,Bracknell Forest,2017
828514_351,2,2005-02-01,WOTH,V039945417783,,,Bracknell Forest,2017
128563_351,2,2003-03-01,WOTH,Z059701106947,,,Bracknell Forest,2017
791462_351,1,2010-10-01,MWBA,D003587536574,,,Bracknell Forest,2017
701805_351,2,2012-07-01,WIRT,N072077741416,,,Bracknell Forest,2017
279823_351,1,2005-05-01,WIRI,L050209795867,,,Bracknell Forest,2017
534483_351,1,2009-04-01,MWAS,N086328852058,,,Bracknell Forest,2017
371388_351,1,2012-09-01,MWAS,E092793862463,,,Bracknell Forest,2017
536539_351,2,2013-07-01,ABAN,X056500054432,,,Bracknell Forest,2017
888626_351,1,2002-06-01,WIRT,O019775244229,,,Bracknell Forest,2017
664207_351,1,2003-10-01,APKN,G073394932788,,,Bracknell Forest,2017
985433_351,2,2006-05-01,NOBT,O075160437319,,,Bracknell Forest,2017
594658_351,2,2006-08-01,NOBT,Z075604814565,,,Bracknell Forest,2017
615488_351,1,2011-02-01,REFU,W091819996418,,,Bracknell Forest,2017
647956_351,2,2002-01-01,WIRI,F001890002456,,,Bracknell Forest,2017
412103_351,1,2005-03-01,MOTH,A075626695162,,,Bracknell Forest,2017
882394_351,1,2014-02-01,OOTH,W053754580881,,,Bracknell Forest,2017
452823_351,2,2003-10-01,APKN,O081733413857,,,Bracknell Forest,2017
454230_351,2,2012-05-01,ABAN,X019143952020,,,Bracknell Forest,2017
630396_351,2,2010-02-01,NOBT,T015871242729,,,Bracknell Forest,2017
342231_351,1,2008-09-01,AOTH,Y006517378511,,,Bracknell Forest,2017
813449_351,2,2003-08-01,MWAS,O005452523758,,,Bracknell Forest,2017
318621_351,1,2005-10-01,MWAS,A033611448284,,,Bracknell Forest,2017
941676_351,2,2004-08-01,WBRI,W057909552280,,,Bracknell Forest,2017
21856_351,2,2004-09-01,CHNE,N074804146555,,,Bracknell Forest,2017
371111_351,1,2013-12-01,WOTH,N075901166725,,,Bracknell Forest,2017
985692_351,1,2014-11-01,WIRI,Q047397919275,,,Bracknell Forest,2017
230601_351,1,2008-01-01,AIND,P027404579925,,,Bracknell Forest,2017
817282_351,1,2001-10-01,CHNE,H058257650966,,,Bracknell Forest,2017
618642_351,2,2001-04-01,MOTH,Q012701229112,,,Bracknell Forest,2017
688216_351,2,2002-01-01,APKN,P092373635790,,,Bracknell Forest,2017
568859_351,2,2001-04-01,BAFR,O005554827227,,,Bracknell Forest,2017
838937_351,2,2002-05-01,APKN,P083780647635,,,Bracknell Forest,2017
239870_351,2,2001-12-01,MOTH,M044357153915,1.0,2018-07-01,Bracknell Forest,2017
473922_351,2,2005-11-01,MWAS,X053626702381,,,Bracknell Forest,2017
658264_351,2,2011-01-01,OOTH,Q066262089101,,,Bracknell Forest,2017
366333_351,2,2005-11-01,BOTH,U012704406457,,,Bracknell Forest,2017
20765_351,1,2013-01-01,CHNE,I045171028459,,,Bracknell Forest,2017
154733_351,1,2001-09-01,BAFR,W039853355022,,,Bracknell Forest,2017
9083_351,1,2008-04-01,WIRT,X087437914585,,,Bracknell Forest,2017
58906_351,1,2003-10-01,CHNE,N094355909986,,,Bracknell Forest,2017
545378_351,2,2009-12-01,AIND,F046469133804,,,Bracknell Forest,2017
223284_351,2,2002-09-01,BOTH,S073430721204,,,Bracknell Forest,2017
524930_351,2,2004-09-01,WIRI,S031327434067,,,Bracknell Forest,2017
292230_351,1,2006-02-01,WIRI,I008642533326,,,Bracknell Forest,2017
455357_351,1,2014-06-01,WOTH,M038227995471,,,Bracknell Forest,2017
242768_351,2,2007-01-01,WIRI,R020852313852,,,Bracknell Forest,2017
914318_351,1,2009-01-01,AOTH,P084505790291,,,Bracknell Forest,2017
707657_351,2,2011-06-01,MWBA,P066397864038,,,Bracknell Forest,2017
245329_351,1,2004-11-01,CHNE,Q049279612792,,,Bracknell Forest,2017
457033_351,2,2004-05-01,AIND,T003781559827,,,Bracknell Forest,2017
360160_351,1,2001-10-01,ABAN,R075224392545,,,Bracknell Forest,2017
682336_351,2,2010-05-01,BOTH,W019441660633,,,Bracknell Forest,2017
808910_351,1,2002-11-01,AIND,W016356303493,,,Bracknell Forest,2017
452023_351,1,2004-08-01,WBRI,Z049673398603,,,Bracknell Forest,2017
765365_351,1,2004-02-01,MWBC,W065524960293,,,Bracknell Forest,2017
895949_351,2,2004-05-01,WROM,Z012700222488,,,Bracknell Forest,2017
640422_351,2,2014-12-01,MOTH,T028992952677,,,Bracknell Forest,2017
333971_351,1,2007-11-01,WOTH,U000036456844,,,Bracknell Forest,2017
760408_351,2,2014-05-01,WROM,S088405137312,,,Bracknell Forest,2017
424680_351,2,2004-08-01,BOTH,V062494068365,,,Bracknell Forest,2017
604168_351,1,2012-10-01,AOTH,S086774628727,,,Bracknell Forest,2017
343293_351,1,2002-09-01,BOTH,Z073655992999,,,Bracknell Forest,2017
498098_351,2,2009-11-01,WROM,A039892384440,,,Bracknell Forest,2017
223076_351,1,2002-11-01,APKN,A019881833904,,,Bracknell Forest,2017
544333_351,2,2004-11-01,BCRB,Y052032630035,,,Bracknell Forest,2017
205420_351,1,2001-08-01,REFU,K084557053971,,,Bracknell Forest,2017
784340_351,1,2004-02-01,WOTH,K026421632949,,,Bracknell Forest,2017
648454_351,2,2002-01-01,APKN,N054252613862,,,Bracknell Forest,2017
883297_351,2,2014-08-01,REFU,W035239342174,,,Bracknell Forest,2017
415311_351,2,2007-09-01,MWAS,V047560621873,,,Bracknell Forest,2017
365724_351,1,2001-07-01,MWAS,W090137533211,,,Bracknell Forest,2017
674460_351,1,2011-02-01,MWBC,V012276856397,,,Bracknell Forest,2017
125817_351,2,2004-11-01,WIRT,D026228949927,,,Bracknell Forest,2017
474333_351,1,2001-07-01,WBRI,L079948158223,,,Bracknell Forest,2017
418843_351,2,2012-08-01,WIRI,T072349885881,,,Bracknell Forest,2017
109196_351,2,2003-10-01,WIRT,Z062625967106,,,Bracknell Forest,2017
143052_351,1,2008-10-01,BCRB,L055657884494,,,Bracknell Forest,2017
560891_351,1,2003-12-01,WROM,U097651578124,,,Bracknell Forest,2017
767721_351,2,2008-01-01,AIND,Z020481874853,,,Bracknell Forest,2017
678389_351,2,2014-02-01,NOBT,U024402941309,,,Bracknell Forest,2017
113868_351,2,2008-12-01,MWBA,C039125942364,,,Bracknell Forest,2017
308262_351,1,2002-10-01,MWBC,E092175329392,,,Bracknell Forest,2017
667442_351,1,2001-08-01,NOBT,Y032070583017,,,Bracknell Forest,2017
585832_351,1,2013-04-01,APKN,E022226490546,,,Bracknell Forest,2017
550948_351,2,2004-08-01,WOTH,W067789939598,,,Bracknell Forest,2017
613314_351,1,2010-10-01,MWBA,R078765168558,,,Bracknell Forest,2017
296403_351,2,2009-11-01,WROM,X097544124899,,,Bracknell Forest,2017
963177_351,1,2012-09-01,WIRT,N069447955394,,,Bracknell Forest,2017
165370_351,2,2004-08-01,BAFR,D099134846479,,,Bracknell Forest,2017
475554_351,2,2012-05-01,ABAN,N019419463884,,,Bracknell Forest,2017
287419_351,2,2007-03-01,BCRB,K032004868358,,,Bracknell Forest,2017
753506_351,1,2012-11-01,WIRT,J076555258851,,,Bracknell Forest,2017
574341_351,1,2012-05-01,APKN,Q038763615499,,,Bracknell Forest,2017
124177_351,2,2011-01-01,ABAN,V063524114328,,,Bracknell Forest,2017
519445_351,2,2001-11-01,BOTH,N053943115656,,,Bracknell Forest,2017
737682_351,2,2013-09-01,MWBA,L097693845091,,,Bracknell Forest,2017
246523_351,1,2007-09-01,BAFR,H014754767145,,,Bracknell Forest,2017
974239_351,1,2001-10-01,CHNE,P008626822059,,,Bracknell Forest,2017
517185_351,2,2010-06-01,MWAS,N003901418782,,,Bracknell Forest,2017
40046_351,2,2012-12-01,AOTH,J034771649532,,,Bracknell Forest,2017
993960_351,2,2007-02-01,WROM,Q086422741211,,,Bracknell Forest,2017
472565_351,2,2010-01-01,WOTH,A063029465392,,,Bracknell Forest,2017
663062_351,2,2014-02-01,ABAN,V016388607417,,,Bracknell Forest,2017
717558_351,2,2008-12-01,NOBT,M084350002115,,,Bracknell Forest,2017
820068_351,2,2013-09-01,MWBA,U041295423395,,,Bracknell Forest,2017
78448_351,2,2011-03-01,OOTH,G044105388138,,,Bracknell Forest,2017
114393_351,1,2012-04-01,OOTH,T072166903351,,,Bracknell Forest,2017
315722_351,2,2005-12-01,WIRT,U074104665913,,,Bracknell Forest,2017
616135_351,2,2006-04-01,WROM,C064234181146,,,Bracknell Forest,2017
190262_351,1,2008-06-01,ABAN,Q089264263595,,,Bracknell Forest,2017
305377_351,2,2005-10-01,WIRT,Y007119420396,,,Bracknell Forest,2017
664432_351,1,2004-02-01,AIND,V086010132428,,,Bracknell Forest,2017
